lead_id,seller_id,company_name,seller_category,service_name,seller_health_score,match_score
L100041,64000143,"Ranganathan, Wadhwa and Krishnan",Garments,IM IL,84,96
L100042,64000293,Andra and Sons,Agriculture,IM Leader Pro,33,79
L100043,64000109,Bhatia-Virk,Machinery,Free,35,73
L100044,64000548,Sidhu LLC,Electronics,IM Leader Pro,43,91
L100045,64000772,Krishnamurthy and Sons,Furniture,Free,92,87
L100046,64000567,Srinivasan-Dua,Garments,Free,71,71
L100047,64000918,"Magar, Samra and Ranganathan",Leather,IM IL,82,75
L100048,64000474,"Basak, Kaur and Barman",Garments,Free,73,91
L100049,64000518,"Sha, Kalita and Issac",Chemicals,Free,49,99
L100050,64000846,Chander and Sons,Machinery,Free,75,71
L100051,64000217,Bora LLC,Agriculture,IM Star Pro,88,84
L100052,64000238,Sha-Jha,Garments,Mini Dynamic Catalog (Annual),95,76
L100053,64000614,Sami Group,Packaging,IM Star Pro,40,81
L100054,64000244,Kant-Sangha,Agriculture,Maximiser Pro,82,94
L100055,64000719,Devi PLC,Leather,IM Leader Pro,67,88
L100056,64000696,Sarin and Sons,Packaging,IM Leader Pro,36,82
L100057,64000115,"Bal, Dada and Desai",Electronics,Free,93,85
L100058,64000925,"Chana, Char and Suri",Machinery,IM Leader Pro,87,99
L100059,64000134,Kalita PLC,Agriculture,Mini Dynamic Catalog (Annual),94,98
L100060,64000051,Saini and Sons,Electronics,IM IL,62,88
L100061,64000539,Sheth Inc,Agriculture,Maximiser Pro,82,99
L100062,64000349,Wable-Rama,Packaging,Mini Dynamic Catalog (Monthly),42,89
L100063,64000569,Yogi PLC,Furniture,Mini Dynamic Catalog (Annual),33,79
L100064,64000583,Chana Ltd,Garments,Mini Dynamic Catalog (Annual),91,72
L100065,64000015,"Kothari, Bail and Bhatti",Leather,IM Leader Pro,66,72
L100066,64000512,Dugal-Kurian,Furniture,Mini Dynamic Catalog (Monthly),82,80
L100067,64000935,Deshpande-Jani,Garments,Mini Dynamic Catalog (Monthly),23,78
L100068,64000847,Desai-Wagle,Electronics,Mini Dynamic Catalog (Monthly),95,96
L100069,64000749,Tiwari Group,Leather,IM IL,60,78
L100070,64000372,Vora LLC,Agriculture,IM IL,94,70
L100071,64000694,Vala-Dutt,Chemicals,Free,27,97
L100072,64000633,Banerjee-Tiwari,Agriculture,Free,15,77
L100073,64000179,"Sen, Manne and Ray",Furniture,Maximiser Pro,42,84
L100074,64000595,"Randhawa, Ramachandran and Samra",Machinery,Trustseal Pro,74,93
L100075,64000799,"Loyal, Char and Sarna",Machinery,IM Leader Pro,80,73
L100076,64000251,Rajagopal PLC,Garments,IM Star Pro,88,72
L100077,64000353,Kothari-Loyal,Garments,Free,82,95
L100078,64000743,Dhawan-Golla,Leather,IM IL,66,96
L100079,64000104,Lal Inc,Chemicals,Maximiser Pro,61,91
L100080,64000986,"Bansal, De and Cherian",Machinery,Free,67,87
L100081,64000993,Kanda Ltd,Leather,IM IL,82,92
L100082,64000295,Deol-Swaminathan,Leather,Trustseal Pro,51,81
L100083,64000970,"Rout, Hans and Tata",Agriculture,Free,82,86
L100084,64000943,Tata PLC,Electronics,IM IL,28,99
L100085,64000122,Mani-Koshy,Leather,Mini Dynamic Catalog (Annual),62,85
L100086,64000021,"Walla, Wagle and Sarraf",Chemicals,Maximiser Pro,28,89
L100087,64000146,"Raval, Chakrabarti and Handa",Machinery,IM IL,41,72
L100088,64000416,Bail Ltd,Electronics,IM Leader Pro,87,80
L100089,64000291,Kunda Inc,Agriculture,Mini Dynamic Catalog (Monthly),71,99
L100090,64000887,"Grover, Srivastava and Kar",Chemicals,Free,87,86
L100091,64000866,Bala-Raja,Leather,Trustseal Pro,49,80
L100092,64000813,Madan-Dash,Garments,IM IL,83,82
L100093,64000049,"Balasubramanian, Kade and Grewal",Electronics,Free,82,72
L100094,64000333,"Shankar, Krishna and Master",Chemicals,Mini Dynamic Catalog (Monthly),64,78
L100095,64000619,Goel-Balakrishnan,Packaging,Free,78,83
L100096,64000446,Bansal-Sule,Leather,Maximiser Pro,47,98
L100097,64000865,Bhardwaj Group,Packaging,Free,71,81
L100098,64000423,"Grover, Som and Bala",Chemicals,Free,34,95
L100099,64000125,Shankar LLC,Furniture,IM IL,85,81
L100100,64000327,"Sankar, Raj and Lalla",Agriculture,Free,83,88
L100101,64000354,Koshy Ltd,Leather,Maximiser Pro,84,78
L100102,64000696,Sarin and Sons,Packaging,IM Leader Pro,36,92
L100103,64000799,"Loyal, Char and Sarna",Machinery,IM Leader Pro,80,96
L100104,64000010,Chawla Ltd,Agriculture,Free,74,83
L100105,64000514,"Lall, Kaul and Saran",Leather,Trustseal Pro,86,98
L100106,64000012,Magar-Basak,Electronics,Mini Dynamic Catalog (Annual),80,87
L100107,64000557,Sabharwal-Kothari,Leather,IM Star Pro,19,99
L100108,64000060,Loyal-Kala,Furniture,Maximiser Pro,43,89
L100109,64000778,"Deshmukh, Khatri and Ahuja",Agriculture,IM Star Pro,86,71
L100110,64000596,Dara LLC,Garments,Free,82,81
L100111,64000440,Khare Inc,Leather,Maximiser Pro,40,73
L100112,64000241,Bail-Sarna,Leather,Free,77,72
L100113,64000619,Goel-Balakrishnan,Packaging,Free,78,74
L100114,64000685,Kurian-Dani,Furniture,IM Leader Pro,50,93
L100115,64000948,Badami Inc,Garments,Mini Dynamic Catalog (Annual),98,98
L100116,64000948,Badami Inc,Garments,Mini Dynamic Catalog (Annual),98,76
L100117,64000887,"Grover, Srivastava and Kar",Chemicals,Free,87,95
L100118,64000837,Dhawan-Gour,Leather,IM Star Pro,21,92
L100119,64000751,"Barad, Borra and Ramaswamy",Garments,Free,26,70
L100120,64000093,"Vaidya, Jayaraman and Bhargava",Machinery,Trustseal Pro,37,88
L100121,64000188,Raju-Goswami,Electronics,Maximiser Pro,26,95
L100122,64000589,Dewan Group,Garments,Free,90,91
L100123,64000198,Chaudhary-Swaminathan,Agriculture,Mini Dynamic Catalog (Monthly),67,73
L100124,64000624,Master-Lanka,Furniture,IM Leader Pro,96,70
L100125,64000329,Viswanathan PLC,Electronics,Free,89,78
L100126,64000327,"Sankar, Raj and Lalla",Agriculture,Free,83,91
L100127,64000646,Swamy Group,Furniture,Free,43,71
L100128,64000343,Singh-Ahluwalia,Agriculture,Mini Dynamic Catalog (Annual),62,90
L100129,64000927,"Konda, Sankar and Gara",Furniture,Trustseal Pro,58,82
L100130,64000546,Khalsa-Iyengar,Packaging,IM IL,88,73
L100131,64000923,Vaidya Inc,Agriculture,IM Star Pro,96,91
L100132,64000918,"Magar, Samra and Ranganathan",Leather,IM IL,82,73
L100133,64000880,"Chaudhari, Dani and Mandal",Furniture,Free,15,75
L100134,64000587,"Johal, Gera and Gole",Garments,Free,72,88
L100135,64000882,Chokshi PLC,Machinery,Maximiser Pro,34,93
L100136,64000649,Dhillon and Sons,Electronics,Free,90,98
L100137,64000461,Kumar Group,Agriculture,Maximiser Pro,93,97
L100138,64000844,Wason and Sons,Garments,IM Star Pro,64,89
L100139,64000806,Dani Inc,Machinery,Free,27,91
L100140,64000535,"Ghose, Bava and Johal",Agriculture,Mini Dynamic Catalog (Monthly),50,78
L100141,64000602,"Reddy, Banerjee and Ghosh",Garments,Mini Dynamic Catalog (Monthly),39,85
L100142,64000507,"Cherian, Dara and Chaudry",Garments,IM Leader Pro,25,82
L100143,64000507,"Cherian, Dara and Chaudry",Garments,IM Leader Pro,25,77
L100144,64000500,Wadhwa-Buch,Machinery,IM Star Pro,56,96
L100145,64000415,"Chacko, Bhatia and Doshi",Packaging,IM Star Pro,23,70
L100146,64000747,Dua-Buch,Electronics,Mini Dynamic Catalog (Annual),20,76
L100147,64000135,Majumdar Inc,Agriculture,Trustseal Pro,97,74
L100148,64000894,Bera LLC,Packaging,IM IL,18,98
L100149,64000908,Karan LLC,Electronics,Trustseal Pro,43,86
L100150,64000732,Ramakrishnan LLC,Agriculture,Trustseal Pro,39,70
L100151,64000754,"Chawla, Joshi and Seth",Packaging,Trustseal Pro,64,79
L100152,64000130,Shan-Contractor,Packaging,Mini Dynamic Catalog (Monthly),93,80
L100153,64000421,"Vora, Bahl and Kata",Agriculture,IM Leader Pro,85,83
L100154,64000248,Banik-Vasa,Agriculture,Free,89,73
L100155,64000294,Konda and Sons,Chemicals,IM IL,95,80
L100156,64000391,Chaudhari Group,Leather,Maximiser Pro,30,84
L100157,64000824,"Thaker, Kuruvilla and Dash",Machinery,IM IL,89,73
L100158,64000980,"Sundaram, Khalsa and Khare",Garments,IM Star Pro,58,88
L100159,64000466,"Sinha, Chahal and Ram",Electronics,Trustseal Pro,85,96
L100160,64000646,Swamy Group,Furniture,Free,43,70
L100161,64000136,Mand-Chaudhuri,Packaging,Free,87,70
L100162,64000514,"Lall, Kaul and Saran",Leather,Trustseal Pro,86,79
L100163,64000610,Kapoor Group,Agriculture,IM IL,86,89
L100164,64000113,Guha-Sarraf,Furniture,IM IL,40,78
L100165,64000825,Srinivas LLC,Chemicals,Free,80,93
L100166,64000093,"Vaidya, Jayaraman and Bhargava",Machinery,Trustseal Pro,37,76
L100167,64000108,Lalla Inc,Packaging,Maximiser Pro,85,79
L100168,64000910,Ben-Toor,Electronics,Maximiser Pro,82,77
L100169,64000711,Ahuja-Chaudry,Packaging,Free,41,84
L100170,64000840,Mangal-Chaudry,Chemicals,Trustseal Pro,25,88
L100171,64000092,Seshadri LLC,Electronics,Trustseal Pro,84,76
L100172,64000898,Srinivas-Bahl,Agriculture,Mini Dynamic Catalog (Monthly),56,97
L100173,64000394,Rajagopalan-Dubey,Garments,Free,76,98
L100174,64000600,Bansal-Bhat,Machinery,Mini Dynamic Catalog (Monthly),78,95
L100175,64000060,Loyal-Kala,Furniture,Maximiser Pro,43,92
L100176,64000891,"Bhatia, Kota and Kade",Garments,Free,45,87
L100177,64000860,Sachdeva-Kaul,Garments,Free,86,91
L100178,64000998,Deshpande-Raja,Machinery,Mini Dynamic Catalog (Monthly),82,72
L100179,64000411,Batta Group,Furniture,Mini Dynamic Catalog (Annual),59,95
L100180,64000608,Borde-Brahmbhatt,Machinery,Mini Dynamic Catalog (Monthly),26,81
L100181,64000600,Bansal-Bhat,Machinery,Mini Dynamic Catalog (Monthly),78,86
L100182,64000650,"Rattan, Ratti and Vaidya",Electronics,Mini Dynamic Catalog (Monthly),36,71
L100183,64000767,Bala-Vora,Leather,Mini Dynamic Catalog (Annual),56,98
L100184,64000909,Gulati-Raju,Furniture,IM Star Pro,92,91
L100185,64000244,Kant-Sangha,Agriculture,Maximiser Pro,82,72
L100186,64000177,"Ben, Devi and Saxena",Furniture,IM IL,85,72
L100187,64000838,"Ganguly, Ganguly and Chaudhry",Agriculture,Free,85,80
L100188,64000016,"Acharya, Kuruvilla and Chaudhari",Furniture,Free,73,95
L100189,64000201,Tata Group,Garments,Trustseal Pro,58,73
L100190,64000941,Ramesh-Thaker,Packaging,Free,26,73
L100191,64000585,Sinha Ltd,Machinery,IM IL,86,88
L100192,64000375,Wadhwa Inc,Chemicals,Free,69,80
L100193,64000226,Sagar-Sarna,Machinery,Maximiser Pro,25,88
L100194,64000353,Kothari-Loyal,Garments,Free,82,86
L100195,64000403,"Sharaf, Loyal and Ganesh",Furniture,Free,75,77
L100196,64000572,"Ramesh, Yadav and Bajwa",Furniture,Maximiser Pro,36,71
L100197,64000071,Khosla-Sur,Garments,IM Leader Pro,91,99
L100198,64000163,Ben LLC,Furniture,Mini Dynamic Catalog (Monthly),79,85
L100199,64000229,Kari LLC,Electronics,Mini Dynamic Catalog (Annual),86,88
L100200,64000447,Babu-Varty,Garments,IM Star Pro,41,70
L100201,64000824,"Thaker, Kuruvilla and Dash",Machinery,IM IL,89,98
L100202,64000813,Madan-Dash,Garments,IM IL,83,94
L100203,64000233,Kothari-Goda,Electronics,Mini Dynamic Catalog (Annual),52,90
L100204,64000926,"Krishnamurthy, Goda and Wable",Machinery,IM Leader Pro,46,99
L100205,64000608,Borde-Brahmbhatt,Machinery,Mini Dynamic Catalog (Monthly),26,71
L100206,64000138,Srivastava Group,Packaging,Trustseal Pro,19,90
L100207,64000701,Vig-Dash,Packaging,Mini Dynamic Catalog (Annual),37,77
L100208,64000502,"Srinivasan, Ramesh and D’Alia",Chemicals,IM Star Pro,61,86
L100209,64000940,Keer Inc,Leather,IM Star Pro,23,80
L100210,64000324,Randhawa Ltd,Packaging,Maximiser Pro,55,96
L100211,64000202,Tripathi and Sons,Agriculture,Mini Dynamic Catalog (Annual),90,93
L100212,64000361,Datta Inc,Leather,IM Leader Pro,49,79
L100213,64000652,Bains LLC,Chemicals,Mini Dynamic Catalog (Annual),50,84
L100214,64000706,Roy-Choudhry,Garments,Trustseal Pro,50,97
L100215,64000581,Dua-Ramachandran,Agriculture,Free,90,99
L100216,64000659,Lanka PLC,Garments,Trustseal Pro,43,88
L100217,64000050,"Kapoor, Bala and Sood",Packaging,IM Leader Pro,36,78
L100218,64000085,"Bandi, Rattan and Choudhry",Garments,Mini Dynamic Catalog (Monthly),15,89
L100219,64000148,De-Mani,Chemicals,Free,93,88
L100220,64000250,"Chana, Aggarwal and Ray",Chemicals,Mini Dynamic Catalog (Monthly),92,92
L100221,64000424,"Ramakrishnan, Ramaswamy and Vaidya",Machinery,Mini Dynamic Catalog (Annual),75,81
L100222,64000573,Sampath-Sethi,Furniture,Free,62,89
L100223,64000017,Kuruvilla Group,Machinery,Trustseal Pro,92,83
L100224,64000692,Dara PLC,Leather,Free,79,92
L100225,64000878,Lata and Sons,Packaging,Mini Dynamic Catalog (Annual),34,76
L100226,64000186,"Chauhan, Babu and Jayaraman",Furniture,Free,80,81
L100227,64000912,Agate LLC,Furniture,Maximiser Pro,32,81
L100228,64000956,"Joshi, Dada and Sandhu",Agriculture,Maximiser Pro,72,87
L100229,64000692,Dara PLC,Leather,Free,79,77
L100230,64000222,Agarwal-Bedi,Furniture,Maximiser Pro,95,98
L100231,64000239,Luthra Group,Furniture,IM Star Pro,39,78
L100232,64000290,Banerjee-Brahmbhatt,Machinery,IM Star Pro,88,89
L100233,64000307,Krishna-Sridhar,Chemicals,IM Leader Pro,96,72
L100234,64000746,Sarraf-Butala,Garments,Trustseal Pro,96,97
L100235,64000922,"Shanker, Brahmbhatt and Basak",Packaging,Trustseal Pro,90,83
L100236,64000178,Dass-Ranganathan,Leather,IM Star Pro,90,99
L100237,64000059,Bhalla-Dube,Garments,Trustseal Pro,91,86
L100238,64000002,"Kamdar, Majumdar and Dutta",Electronics,Mini Dynamic Catalog (Annual),37,92
L100239,64000897,"Shankar, Aggarwal and Kant",Furniture,Free,85,78
L100240,64000154,Kumer Group,Electronics,Free,41,97
L100241,64000935,Deshpande-Jani,Garments,Mini Dynamic Catalog (Monthly),23,89
L100242,64000683,Bakshi and Sons,Chemicals,Trustseal Pro,94,99
L100243,64000713,Bassi-Rama,Leather,Mini Dynamic Catalog (Annual),96,99
L100244,64000878,Lata and Sons,Packaging,Mini Dynamic Catalog (Annual),34,99
L100245,64000044,"Tank, Date and Kalla",Garments,Maximiser Pro,87,85
L100246,64000205,Khanna PLC,Electronics,Free,82,82
L100247,64000696,Sarin and Sons,Packaging,IM Leader Pro,36,78
L100248,64000902,Hegde-Sachar,Chemicals,Mini Dynamic Catalog (Monthly),81,83
L100249,64000827,"Chacko, Sant and Chad",Chemicals,Mini Dynamic Catalog (Annual),59,73
L100250,64000326,"Gola, Shan and Keer",Furniture,Trustseal Pro,96,96
L100251,64000943,Tata PLC,Electronics,IM IL,28,83
L100252,64000345,"Ghosh, Vig and Manne",Agriculture,Free,89,90
L100253,64000744,Kibe-Dayal,Chemicals,IM Star Pro,81,74
L100254,64000175,Vora-Wason,Furniture,Free,90,91
L100255,64000355,"Rajagopalan, Buch and Rao",Packaging,IM IL,54,90
L100256,64000749,Tiwari Group,Leather,IM IL,60,73
L100257,64000603,"Sinha, Shenoy and Sha",Machinery,IM Leader Pro,83,84
L100258,64000838,"Ganguly, Ganguly and Chaudhry",Agriculture,Free,85,87
L100259,64000889,Bassi LLC,Leather,Mini Dynamic Catalog (Annual),90,82
L100260,64000861,Gulati-Raju,Packaging,Mini Dynamic Catalog (Monthly),91,74
L100261,64000860,Sachdeva-Kaul,Garments,Free,86,89
L100262,64000451,Dhingra and Sons,Furniture,IM Leader Pro,91,84
L100263,64000877,"Korpal, Jha and Rana",Electronics,Mini Dynamic Catalog (Annual),39,84
L100264,64000245,"Badami, Dave and Chander",Agriculture,IM Leader Pro,84,89
L100265,64000588,"Madan, Behl and Dhaliwal",Agriculture,IM Star Pro,91,84
L100266,64000877,"Korpal, Jha and Rana",Electronics,Mini Dynamic Catalog (Annual),39,81
L100267,64000976,Jhaveri PLC,Electronics,IM Leader Pro,50,79
L100268,64000990,Sani Ltd,Leather,Maximiser Pro,68,85
L100269,64000235,"Chand, Sunder and Roy",Machinery,Mini Dynamic Catalog (Monthly),33,73
L100270,64000952,Mandal Group,Electronics,Free,88,89
L100271,64000435,Kapadia LLC,Chemicals,Trustseal Pro,47,84
L100272,64000276,Tailor-Grover,Chemicals,Free,86,90
L100273,64000734,"Kota, Kothari and Yohannan",Garments,Free,69,94
L100274,64000256,Golla-Goda,Chemicals,Free,82,90
L100275,64000563,"Sami, Jayaraman and Raju",Packaging,IM Leader Pro,22,72
L100276,64000432,"Wadhwa, Dey and Samra",Leather,Trustseal Pro,60,86
L100277,64000065,"Kannan, Sur and Kota",Electronics,IM IL,43,77
L100278,64000519,"Roy, Sharaf and Gera",Packaging,Mini Dynamic Catalog (Monthly),87,84
L100279,64000449,Rajan-Sahota,Garments,IM Leader Pro,55,80
L100280,64000843,"Ratti, Kibe and Sarraf",Agriculture,Trustseal Pro,42,96
L100281,64000166,Boase Ltd,Agriculture,IM IL,27,99
L100282,64000659,Lanka PLC,Garments,Trustseal Pro,43,74
L100283,64000075,Mandal-Balasubramanian,Garments,Free,87,80
L100284,64000110,"Rau, Bala and Sachar",Agriculture,IM Star Pro,64,71
L100285,64000154,Kumer Group,Electronics,Free,41,87
L100286,64000098,Bala-Chatterjee,Furniture,IM Leader Pro,27,79
L100287,64000616,Baral and Sons,Garments,Mini Dynamic Catalog (Monthly),88,73
L100288,64000068,"Bora, Wali and Bose",Chemicals,IM IL,43,94
L100289,64000214,Varma LLC,Leather,IM Star Pro,68,74
L100290,64000716,"Kuruvilla, Ganesh and Rajan",Electronics,Trustseal Pro,40,72
L100291,64000984,"Venkataraman, Toor and Sood",Electronics,IM Star Pro,78,97
L100292,64000001,"Reddy, Lanka and Dara",Machinery,IM Star Pro,23,85
L100293,64000838,"Ganguly, Ganguly and Chaudhry",Agriculture,Free,85,75
L100294,64000292,D’Alia LLC,Packaging,Free,77,71
L100295,64000591,Uppal Group,Leather,Maximiser Pro,66,74
L100296,64000224,Shetty LLC,Chemicals,IM Star Pro,74,73
L100297,64000839,Thakkar-Savant,Packaging,IM IL,72,82
L100298,64000148,De-Mani,Chemicals,Free,93,78
L100299,64000137,"Sha, Rajan and Mall",Garments,IM Star Pro,33,89
L100300,64000882,Chokshi PLC,Machinery,Maximiser Pro,34,89
L100301,64000506,"Vyas, Chawla and Lad",Electronics,Maximiser Pro,89,97
L100302,64000347,"Barman, Varty and Bahl",Agriculture,Mini Dynamic Catalog (Annual),98,90
L100303,64000699,Saini Ltd,Garments,Maximiser Pro,53,76
L100304,64000729,Grover PLC,Machinery,Free,85,74
L100305,64000929,"Datta, Garg and Dey",Furniture,Mini Dynamic Catalog (Monthly),42,89
L100306,64000604,Dua-Kohli,Electronics,Trustseal Pro,92,86
L100307,64000708,Kanda Group,Electronics,Free,30,91
L100308,64000453,Khosla-Krish,Agriculture,IM Star Pro,71,71
L100309,64000099,Biswas-Bhalla,Garments,IM Leader Pro,92,71
L100310,64000440,Khare Inc,Leather,Maximiser Pro,40,84
L100311,64000270,Chandra-Keer,Furniture,Mini Dynamic Catalog (Annual),84,90
L100312,64000434,De-Arora,Machinery,Maximiser Pro,53,85
L100313,64000557,Sabharwal-Kothari,Leather,IM Star Pro,19,73
L100314,64000396,Ben PLC,Chemicals,Trustseal Pro,72,84
L100315,64000399,Thaman-Shere,Leather,IM Star Pro,40,73
L100316,64000106,Sachdeva Ltd,Furniture,IM Leader Pro,21,82
L100317,64000121,"Dayal, Biswas and Chahal",Chemicals,IM Star Pro,47,81
L100318,64000689,Gokhale and Sons,Machinery,Free,75,78
L100319,64000404,"Raman, Mane and Baral",Furniture,Free,39,83
L100320,64000732,Ramakrishnan LLC,Agriculture,Trustseal Pro,39,90
L100321,64000527,Dar-Kibe,Machinery,Mini Dynamic Catalog (Annual),86,92
L100322,64000859,Rege-Loyal,Leather,IM Star Pro,91,97
L100323,64000651,Rattan Inc,Chemicals,Maximiser Pro,78,86
L100324,64000564,"Chopra, Balakrishnan and Atwal",Furniture,IM Leader Pro,87,70
L100325,64000525,"Sharma, Gole and Choudhry",Machinery,Trustseal Pro,90,89
L100326,64000527,Dar-Kibe,Machinery,Mini Dynamic Catalog (Annual),86,78
L100327,64000427,"Koshy, Saini and Mander",Machinery,Mini Dynamic Catalog (Monthly),86,82
L100328,64000136,Mand-Chaudhuri,Packaging,Free,87,93
L100329,64000827,"Chacko, Sant and Chad",Chemicals,Mini Dynamic Catalog (Annual),59,82
L100330,64000096,"Guha, Kaul and Mall",Electronics,Trustseal Pro,88,77
L100331,64000048,Madan and Sons,Machinery,Trustseal Pro,88,76
L100332,64000606,Batra PLC,Packaging,Free,94,72
L100333,64000122,Mani-Koshy,Leather,Mini Dynamic Catalog (Annual),62,80
L100334,64000473,"Chaudhry, Dhar and Balay",Machinery,IM Star Pro,32,82
L100335,64000754,"Chawla, Joshi and Seth",Packaging,Trustseal Pro,64,99
L100336,64000404,"Raman, Mane and Baral",Furniture,Free,39,92
L100337,64000645,Chaudry Inc,Packaging,IM Leader Pro,32,82
L100338,64000675,Dewan and Sons,Garments,IM IL,87,91
L100339,64000628,Sahota Group,Agriculture,Free,83,71
L100340,64000408,Korpal and Sons,Leather,Free,75,70
L100341,64000024,Gulati-Samra,Packaging,IM Star Pro,87,93
L100342,64000541,Zacharia-Shankar,Packaging,Mini Dynamic Catalog (Annual),81,82
L100343,64000121,"Dayal, Biswas and Chahal",Chemicals,IM Star Pro,47,83
L100344,64000817,Keer-Edwin,Chemicals,Mini Dynamic Catalog (Annual),26,97
L100345,64000830,Gandhi-Butala,Garments,Maximiser Pro,27,73
L100346,64000400,Gill-Yadav,Leather,IM IL,83,98
L100347,64000304,"Sant, Mander and Kaur",Garments,Free,82,99
L100348,64000374,Lad LLC,Furniture,Mini Dynamic Catalog (Monthly),48,74
L100349,64000959,"Kanda, Kulkarni and Yadav",Packaging,Mini Dynamic Catalog (Annual),15,99
L100350,64000599,"Doctor, Swaminathan and Ganesan",Chemicals,Free,92,85
L100351,64000433,"Halder, Arora and Batta",Machinery,IM Leader Pro,82,77
L100352,64000562,Mangal-Chawla,Agriculture,IM IL,93,78
L100353,64000639,Vig-Ravel,Leather,Mini Dynamic Catalog (Annual),48,81
L100354,64000914,Ahluwalia-Sant,Agriculture,IM Leader Pro,63,88
L100355,64000028,Srinivas PLC,Agriculture,IM Star Pro,84,70
L100356,64000116,"Tandon, Bhatnagar and Handa",Machinery,IM IL,84,89
L100357,64000721,Tiwari Group,Machinery,Mini Dynamic Catalog (Annual),85,81
L100358,64000783,Venkatesh-Tata,Furniture,IM IL,27,81
L100359,64000175,Vora-Wason,Furniture,Free,90,84
L100360,64000105,"Raj, Halder and Bansal",Furniture,IM IL,44,89
L100361,64000629,"Suri, Raja and Soni",Leather,Mini Dynamic Catalog (Annual),18,81
L100362,64000184,"Dalal, Chaudhary and Ganguly",Machinery,IM IL,87,81
L100363,64000471,Suri-Vasa,Electronics,Maximiser Pro,72,96
L100364,64000654,Chauhan-Sachdev,Garments,Free,82,99
L100365,64000043,Shenoy-Vasa,Chemicals,IM Star Pro,34,79
L100366,64000815,Mandal PLC,Garments,Maximiser Pro,41,74
L100367,64000056,"Vaidya, Badami and Sanghvi",Garments,Trustseal Pro,26,76
L100368,64000532,Devi Group,Agriculture,Maximiser Pro,86,82
L100369,64000749,Tiwari Group,Leather,IM IL,60,82
L100370,64000357,"Rana, Kapur and Ramesh",Packaging,Free,90,75
L100371,64000104,Lal Inc,Chemicals,Maximiser Pro,61,83
L100372,64000302,"Dixit, Srivastava and Choudhry",Electronics,Mini Dynamic Catalog (Monthly),15,71
L100373,64000972,Sawhney-Mani,Furniture,Free,80,95
L100374,64000346,Konda Group,Chemicals,Mini Dynamic Catalog (Annual),27,81
L100375,64000880,"Chaudhari, Dani and Mandal",Furniture,Free,15,77
