lead_id,timestamp,buyer_city,buyer_state,product_name,category,subcategory,quantity,order_value_rs,buyer_type,intent_score,lead_quality,urgency,budget_range,requirement_type,buyer_engagement_score,gst_verified,preferred_contact,lead_source
L100115,2026-04-23 3:09:45,Bengaluru,Jharkhand,Corporate Polo T-Shirts,Garments,Uniforms,131,414790,Distributor,44,Cold,Immediate,Rs. 409790 - 414790,Sample,24,No,WhatsApp,Recommendation
L100116,2026-04-24 7:09:45,Ludhiana,Manipur,School Uniform Supplier,Garments,Uniforms,170,437664,Retailer,61,Cold,Within Month,Rs. 432664 - 437664,Bulk Purchase,71,Yes,Email,Recommendation
L100117,2026-05-01 23:09:45,Chennai,Assam,Paint Chemical Supplier,Chemicals,Cleaning Chemical,476,389828,Distributor,43,Cold,Within Month,Rs. 384828 - 389828,Sample,36,No,WhatsApp,Direct
L100118,2026-05-07 16:09:45,Chennai,Haryana,PU Leather Passport Cover Holder,Leather,Organizer Bag,174,197234,Manufacturer,80,Warm,Within Week,Rs. 192234 - 197234,Bulk Purchase,86,Yes,WhatsApp,Search
L100119,2026-04-25 11:09:45,Noida,Uttarakhand,Hoodies for Reselling,Garments,Corporate Wear,45,261099,Wholesaler,96,Hot,Immediate,Rs. 256099 - 261099,Reselling,32,Yes,WhatsApp,Direct
L100120,2026-04-23 9:09:45,Ahmedabad,Himachal Pradesh,Semi Automatic Lathe Machine,Machinery,Packaging Machine,260,13573,Wholesaler,91,Hot,Within Week,Rs. 8573 - 13573,Reselling,71,No,WhatsApp,ASTBuy
L100121,2026-04-22 11:09:45,Mumbai,Tripura,Wireless CCTV Camera,Electronics,Adapters,106,380383,Retailer,42,Cold,Within Week,Rs. 375383 - 380383,Reselling,15,Yes,WhatsApp,Recommendation
L100122,2026-05-05 19:09:45,Surat,Tamil Nadu,Corporate Polo T-Shirts,Garments,T-Shirts,12,303307,Wholesaler,88,Hot,Immediate,Rs. 298307 - 303307,Bulk Purchase,46,No,Email,Search
L100123,2026-04-18 4:09:45,Bengaluru,Goa,Hybrid Seeds Requirement,Agriculture,Seeds,77,83073,Retailer,57,Cold,Immediate,Rs. 78073 - 83073,Bulk Purchase,79,No,Email,Search
L100124,2026-04-18 14:09:45,Surat,Maharashtra,Wooden Sofa Set,Furniture,Wooden Table,294,128858,Manufacturer,50,Cold,Immediate,Rs. 123858 - 128858,Sample,26,Yes,WhatsApp,Direct
