event_id,timestamp,seller_id,company_name,persona_type,service_name,city,event_type,event_source,event_value,metadata
E100026,2026-05-10 11:49:35,64000627,Bhatnagar-Deo,Lazy Seller,Mini Dynamic Catalog (Annual),Gurugram,lead_received,notification_engine,3,"{'intent_score': 45, 'category': 'Chemicals', 'source': 'ASTBuy'}"
E100027,2026-05-02 8:49:22,64000823,"Krishna, Datta and Contractor",Premium Stable Seller,IM Leader Pro,Mumbai,login,buyer_platform,8,{'platform': 'App'}
E100028,2026-05-12 6:56:18,64000090,Dasgupta PLC,Premium Stable Seller,Free,Mumbai,lead_received,notification_engine,9,"{'intent_score': 50, 'category': 'Garments', 'source': 'BizFeed'}"
E100029,2026-05-10 14:34:02,64000062,"Sharma, Saxena and Balay",Free Active Seller,Free,Delhi,product_added,buyer_platform,85,{'products_added': 3}
E100030,2026-05-11 10:29:14,64000509,"Rajagopal, Wali and Kapadia",Power Seller,Mini Dynamic Catalog (Annual),Mumbai,lead_consumed,crm_system,68,{'platform': 'Desktop'}
E100031,2026-05-05 6:54:40,64000923,Vaidya Inc,Premium Stable Seller,IM Star Pro,Ahmedabad,sales_call,buyer_platform,92,"{'call_duration_mins': 8, 'call_outcome': 'No Response'}"
E100032,2026-05-02 20:59:10,64000985,Sabharwal Group,Premium Stable Seller,IM Leader Pro,Gurugram,lead_received,seller_portal,32,"{'intent_score': 73, 'category': 'Chemicals', 'source': 'ASTBuy'}"
E100033,2026-05-01 3:49:04,64000974,"Roy, Sodhi and Comar",Free Active Seller,Free,Ludhiana,lead_received,buyer_platform,76,"{'intent_score': 46, 'category': 'Chemicals', 'source': 'BizFeed'}"
E100034,2026-04-18 4:37:57,64000247,"Das, Sahni and Sidhu",Free Active Seller,Free,Ahmedabad,lead_received,seller_portal,5,"{'intent_score': 90, 'category': 'Garments', 'source': 'Direct'}"
E100035,2026-04-18 4:28:28,64000576,"Chaudhuri, Gill and Kata",Churning Seller,IM Leader Pro,Ahmedabad,support_ticket,notification_engine,28,"{'ticket_type': 'Billing', 'priority': 'Medium'}"
E100036,2026-05-12 11:13:59,64000288,Kuruvilla-Bains,Free Active Seller,Free,Bengaluru,response_sent,buyer_platform,61,"{'response_time_mins': 37, 'platform': 'App'}"
E100037,2026-04-23 23:45:48,64000780,Ben-Saxena,New Seller,Maximiser Pro,Delhi,hot_lead_missed,notification_engine,46,"{'intent_score': 86, 'penalty_score': 8}"
E100038,2026-05-07 10:02:34,64000560,Cherian-Goyal,Free Active Seller,Free,Mumbai,lead_consumed,seller_portal,87,{'platform': 'Mobile Site'}
E100039,2026-04-19 12:35:05,64000305,"Bajaj, Samra and Bajaj",Premium Stable Seller,Trustseal Pro,Mumbai,response_sent,crm_system,14,"{'response_time_mins': 4, 'platform': 'App'}"
E100040,2026-04-23 23:31:44,64000547,"Kalla, Lalla and Saini",New Seller,Free,Jaipur,lead_received,notification_engine,24,"{'intent_score': 79, 'category': 'Machinery', 'source': 'Direct'}"
E100041,2026-04-26 20:57:55,64000879,Devi LLC,Churning Seller,Mini Dynamic Catalog (Annual),Ludhiana,lead_received,seller_portal,7,"{'intent_score': 49, 'category': 'Machinery', 'source': 'BizFeed'}"
E100042,2026-05-10 23:45:01,64000667,"Jaggi, Shetty and Bhakta",Power Seller,IM IL,Gurugram,response_sent,seller_portal,97,"{'response_time_mins': 54, 'platform': 'Desktop'}"
E100043,2026-04-22 19:41:10,64000991,Bahl-Saraf,Lazy Seller,Free,Gurugram,support_ticket,notification_engine,28,"{'ticket_type': 'Technical', 'priority': 'Medium'}"
E100044,2026-04-17 14:14:05,64000712,"Sachdeva, Tara and Devan",Free Active Seller,Free,Surat,notification_opened,notification_engine,1,{'channel': 'Push'}
E100045,2026-04-27 14:54:13,64000740,"Lall, Sibal and Agarwal",Churning Seller,IM Leader Pro,Delhi,product_added,crm_system,55,{'products_added': 8}
E100046,2026-05-11 17:26:12,64000464,"Agate, Bhattacharyya and Kannan",Free Active Seller,Free,Gurugram,quotation_sent,notification_engine,20,{'quotation_value': 178505}
E100047,2026-04-25 7:33:34,64000517,"Sheth, Kibe and Chaudhry",Free Active Seller,Free,Surat,lead_received,seller_portal,96,"{'intent_score': 48, 'category': 'Chemicals', 'source': 'BizFeed'}"
E100048,2026-04-17 4:20:23,64000645,Chaudry Inc,Lazy Seller,IM Leader Pro,Noida,lead_consumed,notification_engine,65,{'platform': 'Mobile Site'}
E100049,2026-05-10 12:43:35,64000898,Srinivas-Bahl,New Seller,Mini Dynamic Catalog (Monthly),Gurugram,renewal_warning,seller_portal,24,"{'risk_score': 75, 'reason': 'Low Engagement'}"
E100050,2026-04-18 1:05:59,64000513,Das Ltd,Churning Seller,Trustseal Pro,Jaipur,login,buyer_platform,52,{'platform': 'Mobile Site'}
E100051,2026-05-12 9:38:22,64000869,Sarna Group,Churning Seller,Maximiser Pro,Bengaluru,lead_received,seller_portal,80,"{'intent_score': 60, 'category': 'Chemicals', 'source': 'BizFeed'}"
E100052,2026-05-13 1:56:50,64000124,Barman LLC,New Seller,IM Leader Pro,Jaipur,login,crm_system,34,{'platform': 'Mobile Site'}
E100053,2026-04-29 23:58:13,64000747,Dua-Buch,Lazy Seller,Mini Dynamic Catalog (Annual),Noida,lead_received,buyer_platform,86,"{'intent_score': 60, 'category': 'Electronics', 'source': 'ASTBuy'}"
E100054,2026-05-06 22:37:29,64000833,"Gour, Sarin and Mandal",Free Active Seller,Free,Jaipur,response_sent,seller_portal,59,"{'response_time_mins': 21, 'platform': 'Desktop'}"
E100055,2026-05-12 1:51:17,64000463,"Tella, Madan and Apte",New Seller,Maximiser Pro,Gurugram,quotation_sent,seller_portal,69,{'quotation_value': 31209}
E100056,2026-04-27 14:54:02,64000687,Kale Group,Churning Seller,Maximiser Pro,Ludhiana,lead_received,buyer_platform,48,"{'intent_score': 53, 'category': 'Electronics', 'source': 'Direct'}"
E100057,2026-05-06 0:26:30,64000239,Luthra Group,Churning Seller,IM Star Pro,Surat,lead_consumed,crm_system,79,{'platform': 'Mobile Site'}
E100058,2026-05-10 10:10:49,64000238,Sha-Jha,Premium Stable Seller,Mini Dynamic Catalog (Annual),Chennai,product_added,crm_system,85,{'products_added': 1}
E100059,2026-04-21 6:22:48,64000630,Mand-Suresh,Churning Seller,IM IL,Ludhiana,lead_received,buyer_platform,35,"{'intent_score': 61, 'category': 'Garments', 'source': 'Direct'}"
E100060,2026-04-24 23:19:15,64000732,Ramakrishnan LLC,Lazy Seller,Trustseal Pro,Chennai,lead_consumed,crm_system,27,{'platform': 'Mobile Site'}
E100061,2026-04-27 13:28:59,64000343,Singh-Ahluwalia,New Seller,Mini Dynamic Catalog (Annual),Jaipur,catalog_updated,notification_engine,33,{'products_updated': 9}
E100062,2026-04-17 5:06:17,64000620,"Sani, Rajagopalan and Swamy",Free Active Seller,Free,Ludhiana,support_ticket,notification_engine,36,"{'ticket_type': 'Lead Quality', 'priority': 'High'}"
E100063,2026-04-30 22:32:28,64000890,Baria-Agrawal,Lazy Seller,IM IL,Surat,login,crm_system,21,{'platform': 'Desktop'}
E100064,2026-05-11 12:40:26,64000924,"Tara, Issac and Chowdhury",Premium Stable Seller,Trustseal Pro,Surat,quotation_sent,notification_engine,72,{'quotation_value': 189986}
E100065,2026-04-18 9:35:06,64000806,Dani Inc,Churning Seller,Free,Chennai,login,buyer_platform,70,{'platform': 'Mobile Site'}
E100066,2026-05-02 16:05:15,64000210,Dara Ltd,New Seller,Free,Bengaluru,login,buyer_platform,56,{'platform': 'Mobile Site'}
E100067,2026-04-29 17:04:00,64000052,Sarraf-Bali,Power Seller,Mini Dynamic Catalog (Monthly),Mumbai,login,seller_portal,46,{'platform': 'App'}
E100068,2026-04-26 20:38:34,64000655,Dhawan-Borra,New Seller,IM Star Pro,Ludhiana,lead_received,notification_engine,80,"{'intent_score': 87, 'category': 'Garments', 'source': 'ASTBuy'}"
E100069,2026-04-26 5:44:19,64000594,Ramaswamy Group,New Seller,Free,Ludhiana,sales_call,notification_engine,4,"{'call_duration_mins': 7, 'call_outcome': 'Positive'}"
E100070,2026-04-30 20:56:37,64000157,Dugar-Jain,Premium Stable Seller,Maximiser Pro,Delhi,lead_received,buyer_platform,35,"{'intent_score': 95, 'category': 'Machinery', 'source': 'BizFeed'}"
E100071,2026-04-19 23:51:36,64000018,"Sama, Gulati and Ray",Free Active Seller,Free,Surat,login,seller_portal,61,{'platform': 'App'}
E100072,2026-05-07 2:12:42,64000301,Chander-Karnik,Power Seller,Mini Dynamic Catalog (Annual),Bengaluru,lead_received,buyer_platform,4,"{'intent_score': 67, 'category': 'Electronics', 'source': 'Direct'}"
E100073,2026-05-04 2:09:58,64000757,"Kade, Bora and Babu",Churning Seller,Mini Dynamic Catalog (Monthly),Noida,hot_lead_missed,seller_portal,99,"{'intent_score': 90, 'penalty_score': 13}"
E100074,2026-05-09 11:25:13,64000792,Bhat and Sons,New Seller,IM IL,Mumbai,lead_received,seller_portal,15,"{'intent_score': 70, 'category': 'Chemicals', 'source': 'ASTBuy'}"
E100075,2026-04-27 10:15:26,64000956,"Joshi, Dada and Sandhu",New Seller,Maximiser Pro,Ahmedabad,support_ticket,crm_system,5,"{'ticket_type': 'Billing', 'priority': 'High'}"
E100076,2026-05-05 20:13:23,64000162,Golla-Sridhar,Power Seller,Maximiser Pro,Bengaluru,login,crm_system,56,{'platform': 'App'}
E100077,2026-05-09 13:46:14,64000816,"Raval, Buch and Kant",Premium Stable Seller,IM IL,Mumbai,response_sent,buyer_platform,33,"{'response_time_mins': 8, 'platform': 'App'}"
E100078,2026-05-05 21:57:48,64000190,Kulkarni-Chaudhary,Churning Seller,IM Star Pro,Noida,login,buyer_platform,47,{'platform': 'Desktop'}
E100079,2026-04-30 18:37:50,64000710,Basak and Sons,Churning Seller,IM Leader Pro,Chennai,sales_call,seller_portal,93,"{'call_duration_mins': 21, 'call_outcome': 'Neutral'}"
E100080,2026-05-09 8:45:36,64000155,Bava-Luthra,Free Active Seller,Free,Gurugram,hot_lead_missed,crm_system,52,"{'intent_score': 89, 'penalty_score': 18}"
E100081,2026-05-11 15:51:25,64000998,Deshpande-Raja,Premium Stable Seller,Mini Dynamic Catalog (Monthly),Ahmedabad,response_sent,notification_engine,86,"{'response_time_mins': 9, 'platform': 'Desktop'}"
E100082,2026-04-23 4:40:34,64000551,Gola-Anand,Premium Stable Seller,IM IL,Surat,notification_opened,crm_system,52,{'channel': 'WhatsApp'}
E100083,2026-04-14 18:23:33,64000201,Tata Group,New Seller,Trustseal Pro,Gurugram,response_sent,buyer_platform,56,"{'response_time_mins': 20, 'platform': 'App'}"
E100084,2026-05-14 4:43:54,64000450,Ramachandran Inc,Churning Seller,IM IL,Ahmedabad,support_ticket,notification_engine,57,"{'ticket_type': 'Catalog', 'priority': 'Medium'}"
E100085,2026-05-09 13:28:50,64000217,Bora LLC,Premium Stable Seller,IM Star Pro,Bengaluru,response_sent,buyer_platform,85,"{'response_time_mins': 31, 'platform': 'Mobile Site'}"
E100086,2026-05-09 18:27:53,64000451,Dhingra and Sons,Premium Stable Seller,IM Leader Pro,Chennai,login,crm_system,12,{'platform': 'Mobile Site'}
E100087,2026-04-26 3:33:41,64000127,Tiwari Inc,Premium Stable Seller,Free,Mumbai,catalog_updated,crm_system,29,{'products_updated': 11}
E100088,2026-04-21 21:35:58,64000485,"Bhargava, Hari and Toor",Churning Seller,Trustseal Pro,Jaipur,support_ticket,buyer_platform,61,"{'ticket_type': 'Lead Quality', 'priority': 'Low'}"
E100089,2026-04-18 6:46:14,64000725,Gour-Grewal,Churning Seller,Trustseal Pro,Noida,hot_lead_missed,buyer_platform,92,"{'intent_score': 92, 'penalty_score': 18}"
E100090,2026-05-08 17:54:39,64000263,"Ganesan, Manda and Chander",Churning Seller,Mini Dynamic Catalog (Monthly),Delhi,hot_lead_missed,buyer_platform,84,"{'intent_score': 91, 'penalty_score': 12}"
E100091,2026-04-19 22:06:10,64000004,"Kurian, Bhat and Ben",Free Active Seller,Free,Ahmedabad,quotation_sent,notification_engine,29,{'quotation_value': 209058}
E100092,2026-05-09 21:23:03,64000646,Swamy Group,Lazy Seller,Free,Ludhiana,lead_received,buyer_platform,16,"{'intent_score': 74, 'category': 'Garments', 'source': 'BizFeed'}"
E100093,2026-05-07 7:16:05,64000952,Mandal Group,Free Active Seller,Free,Ludhiana,lead_consumed,crm_system,97,{'platform': 'Mobile Site'}
E100094,2026-05-14 11:42:41,64000821,Dewan LLC,Power Seller,Trustseal Pro,Ahmedabad,notification_opened,notification_engine,71,{'channel': 'WhatsApp'}
E100095,2026-04-22 11:21:07,64000534,Tak Inc,Power Seller,Maximiser Pro,Mumbai,lead_consumed,notification_engine,58,{'platform': 'Mobile Site'}
E100096,2026-04-26 17:58:29,64000004,"Kurian, Bhat and Ben",Free Active Seller,Free,Ahmedabad,lead_received,notification_engine,81,"{'intent_score': 98, 'category': 'Electronics', 'source': 'BizFeed'}"
E100097,2026-05-06 2:24:30,64000706,Roy-Choudhry,New Seller,Trustseal Pro,Mumbai,lead_received,crm_system,43,"{'intent_score': 49, 'category': 'Electronics', 'source': 'Direct'}"
E100098,2026-05-10 23:14:33,64000503,Bora PLC,Premium Stable Seller,Trustseal Pro,Bengaluru,lead_received,buyer_platform,50,"{'intent_score': 50, 'category': 'Industrial', 'source': 'Direct'}"
E100099,2026-04-25 3:11:34,64000856,Sani-Raj,New Seller,IM Star Pro,Ludhiana,catalog_updated,notification_engine,53,{'products_updated': 2}
E100100,2026-05-07 8:45:39,64000407,Dhawan Inc,New Seller,Mini Dynamic Catalog (Monthly),Chennai,lead_received,notification_engine,50,"{'intent_score': 71, 'category': 'Garments', 'source': 'Direct'}"
E100101,2026-05-13 2:25:17,64000255,Dayal-Kala,Free Active Seller,Free,Mumbai,support_ticket,notification_engine,62,"{'ticket_type': 'Lead Quality', 'priority': 'High'}"
E100102,2026-05-01 19:44:54,64000500,Wadhwa-Buch,New Seller,IM Star Pro,Mumbai,login,notification_engine,54,{'platform': 'App'}
E100103,2026-05-11 6:12:35,64000407,Dhawan Inc,New Seller,Mini Dynamic Catalog (Monthly),Chennai,response_sent,buyer_platform,63,"{'response_time_mins': 52, 'platform': 'Mobile Site'}"
E100104,2026-05-05 21:42:19,64000582,Talwar-Kota,New Seller,Trustseal Pro,Delhi,lead_received,crm_system,86,"{'intent_score': 76, 'category': 'Garments', 'source': 'ASTBuy'}"
E100105,2026-05-04 8:58:58,64000633,Banerjee-Tiwari,Lazy Seller,Free,Bengaluru,hot_lead_missed,notification_engine,17,"{'intent_score': 96, 'penalty_score': 10}"
E100106,2026-05-10 16:13:07,64000926,"Krishnamurthy, Goda and Wable",New Seller,IM Leader Pro,Delhi,product_added,notification_engine,76,{'products_added': 1}
E100107,2026-04-16 1:29:45,64000736,Gill LLC,Power Seller,Mini Dynamic Catalog (Annual),Noida,response_sent,notification_engine,18,"{'response_time_mins': 6, 'platform': 'Mobile Site'}"
E100108,2026-04-23 13:38:57,64000644,"Kara, Cheema and Shah",Premium Stable Seller,IM Star Pro,Jaipur,sales_call,notification_engine,42,"{'call_duration_mins': 3, 'call_outcome': 'Neutral'}"
E100109,2026-04-30 14:43:21,64000000,Ghose-Rastogi,Free Active Seller,Free,Gurugram,lead_received,notification_engine,33,"{'intent_score': 66, 'category': 'Machinery', 'source': 'ASTBuy'}"
E100110,2026-05-07 13:52:00,64000781,Balakrishnan Inc,New Seller,IM IL,Noida,hot_lead_missed,crm_system,29,"{'intent_score': 85, 'penalty_score': 6}"
E100111,2026-04-16 16:49:25,64000930,Singh-Chowdhury,Free Active Seller,Free,Noida,response_sent,buyer_platform,26,"{'response_time_mins': 49, 'platform': 'Desktop'}"
E100112,2026-04-22 3:27:28,64000961,Madan-Sethi,Lazy Seller,Free,Chennai,support_ticket,notification_engine,86,"{'ticket_type': 'Billing', 'priority': 'Low'}"
E100113,2026-04-25 7:52:00,64000887,"Grover, Srivastava and Kar",Free Active Seller,Free,Bengaluru,login,crm_system,99,{'platform': 'App'}
E100114,2026-05-14 3:50:09,64000956,"Joshi, Dada and Sandhu",New Seller,Maximiser Pro,Ahmedabad,lead_consumed,seller_portal,100,{'platform': 'Mobile Site'}
E100115,2026-04-29 20:18:22,64000541,Zacharia-Shankar,Premium Stable Seller,Mini Dynamic Catalog (Annual),Jaipur,catalog_updated,seller_portal,40,{'products_updated': 2}
E100116,2026-05-02 23:11:02,64000899,Deep-Borah,Premium Stable Seller,IM IL,Mumbai,response_sent,buyer_platform,10,"{'response_time_mins': 26, 'platform': 'Mobile Site'}"
E100117,2026-04-26 12:51:35,64000290,Banerjee-Brahmbhatt,Power Seller,IM Star Pro,Ahmedabad,response_sent,crm_system,88,"{'response_time_mins': 7, 'platform': 'Mobile Site'}"
E100118,2026-04-20 14:57:32,64000529,Dara-Bhavsar,New Seller,IM Star Pro,Jaipur,quotation_sent,seller_portal,45,{'quotation_value': 213726}
E100119,2026-05-02 17:39:57,64000963,Zacharia LLC,Lazy Seller,Trustseal Pro,Ludhiana,hot_lead_missed,seller_portal,54,"{'intent_score': 86, 'penalty_score': 15}"
E100120,2026-04-19 20:52:53,64000683,Bakshi and Sons,Premium Stable Seller,Trustseal Pro,Bengaluru,catalog_updated,crm_system,82,{'products_updated': 7}
E100121,2026-05-07 1:33:17,64000820,Virk-Chaudhry,New Seller,Mini Dynamic Catalog (Monthly),Mumbai,support_ticket,buyer_platform,94,"{'ticket_type': 'Billing', 'priority': 'Medium'}"
E100122,2026-04-27 20:35:18,64000024,Gulati-Samra,Premium Stable Seller,IM Star Pro,Jaipur,lead_consumed,notification_engine,60,{'platform': 'Mobile Site'}
E100123,2026-05-13 12:12:09,64000830,Gandhi-Butala,Churning Seller,Maximiser Pro,Noida,sales_call,buyer_platform,12,"{'call_duration_mins': 10, 'call_outcome': 'Neutral'}"
E100124,2026-05-06 15:08:31,64000438,Ganesh-Kadakia,New Seller,IM Leader Pro,Jaipur,lead_received,notification_engine,44,"{'intent_score': 60, 'category': 'Machinery', 'source': 'BizFeed'}"
E100125,2026-04-30 12:35:19,64000347,"Barman, Varty and Bahl",Power Seller,Mini Dynamic Catalog (Annual),Bengaluru,login,notification_engine,28,{'platform': 'Desktop'}
E100126,2026-04-27 6:55:19,64000046,Hans-Rajan,Premium Stable Seller,IM Leader Pro,Jaipur,lead_received,crm_system,72,"{'intent_score': 66, 'category': 'Electronics', 'source': 'BizFeed'}"
E100127,2026-04-24 0:30:59,64000715,"Tella, Zachariah and Dhingra",Churning Seller,IM Star Pro,Mumbai,login,buyer_platform,93,{'platform': 'Desktop'}
E100128,2026-05-11 16:44:48,64000235,"Chand, Sunder and Roy",Lazy Seller,Mini Dynamic Catalog (Monthly),Ahmedabad,sales_call,notification_engine,83,"{'call_duration_mins': 9, 'call_outcome': 'No Response'}"
E100129,2026-05-06 12:04:51,64000202,Tripathi and Sons,Power Seller,Mini Dynamic Catalog (Annual),Chennai,quotation_sent,seller_portal,12,{'quotation_value': 212862}
E100130,2026-05-04 9:04:52,64000306,Varma and Sons,Free Active Seller,Free,Ludhiana,lead_received,crm_system,61,"{'intent_score': 89, 'category': 'Industrial', 'source': 'ASTBuy'}"
E100131,2026-05-01 10:25:34,64000964,Salvi PLC,Premium Stable Seller,Mini Dynamic Catalog (Annual),Ludhiana,response_sent,crm_system,46,"{'response_time_mins': 28, 'platform': 'Mobile Site'}"
E100132,2026-04-27 21:33:36,64000964,Salvi PLC,Premium Stable Seller,Mini Dynamic Catalog (Annual),Ludhiana,response_sent,buyer_platform,16,"{'response_time_mins': 20, 'platform': 'App'}"
E100133,2026-04-30 1:33:35,64000845,Kuruvilla Inc,Free Active Seller,Free,Bengaluru,catalog_updated,buyer_platform,25,{'products_updated': 2}
E100134,2026-05-08 6:03:07,64000965,"Dey, Guha and Arya",New Seller,Mini Dynamic Catalog (Monthly),Bengaluru,lead_received,crm_system,13,"{'intent_score': 62, 'category': 'Chemicals', 'source': 'BizFeed'}"
E100135,2026-04-29 3:04:18,64000591,Uppal Group,New Seller,Maximiser Pro,Ahmedabad,hot_lead_missed,buyer_platform,39,"{'intent_score': 88, 'penalty_score': 16}"
E100136,2026-05-10 16:13:55,64000074,Chaudhry-Bhavsar,Premium Stable Seller,IM Leader Pro,Chennai,login,crm_system,6,{'platform': 'Desktop'}
E100137,2026-05-11 14:37:46,64000567,Srinivasan-Dua,Free Active Seller,Free,Chennai,product_added,buyer_platform,82,{'products_added': 5}
E100138,2026-05-08 13:50:05,64000483,De Inc,Lazy Seller,IM IL,Surat,support_ticket,crm_system,61,"{'ticket_type': 'Lead Quality', 'priority': 'Low'}"
E100139,2026-05-01 6:52:15,64000651,Rattan Inc,Premium Stable Seller,Maximiser Pro,Noida,lead_consumed,seller_portal,33,{'platform': 'Desktop'}
E100140,2026-05-07 22:30:52,64000377,Chauhan PLC,Power Seller,IM Star Pro,Ahmedabad,hot_lead_missed,notification_engine,63,"{'intent_score': 86, 'penalty_score': 7}"
E100141,2026-04-17 8:22:43,64000705,"Bir, Anand and Johal",Power Seller,Trustseal Pro,Ahmedabad,login,buyer_platform,73,{'platform': 'Desktop'}
E100142,2026-04-18 21:09:45,64000909,Gulati-Raju,Premium Stable Seller,IM Star Pro,Delhi,hot_lead_missed,notification_engine,78,"{'intent_score': 88, 'penalty_score': 8}"
E100143,2026-04-25 16:51:51,64000977,Dugal-Swamy,Free Active Seller,Free,Ludhiana,response_sent,notification_engine,58,"{'response_time_mins': 50, 'platform': 'Mobile Site'}"
E100144,2026-04-29 4:21:40,64000302,"Dixit, Srivastava and Choudhry",Lazy Seller,Mini Dynamic Catalog (Monthly),Noida,renewal_warning,crm_system,73,"{'risk_score': 97, 'reason': 'High Response Delay'}"
E100145,2026-05-14 8:11:28,64000196,Devi LLC,Power Seller,Trustseal Pro,Jaipur,response_sent,buyer_platform,81,"{'response_time_mins': 48, 'platform': 'Desktop'}"
E100146,2026-04-18 16:30:35,64000254,Sandal LLC,Power Seller,IM IL,Surat,lead_received,seller_portal,21,"{'intent_score': 55, 'category': 'Industrial', 'source': 'Direct'}"
E100147,2026-05-06 14:47:40,64000986,"Bansal, De and Cherian",New Seller,Free,Bengaluru,login,notification_engine,38,{'platform': 'Mobile Site'}
E100148,2026-04-28 17:35:10,64000421,"Vora, Bahl and Kata",Power Seller,IM Leader Pro,Gurugram,login,crm_system,90,{'platform': 'Mobile Site'}
E100149,2026-04-18 4:51:00,64000969,"Sahota, Chadha and Bali",Lazy Seller,IM Leader Pro,Ahmedabad,support_ticket,buyer_platform,55,"{'ticket_type': 'Billing', 'priority': 'Medium'}"
E100150,2026-04-25 15:50:30,64000812,Talwar and Sons,Power Seller,IM IL,Jaipur,login,buyer_platform,35,{'platform': 'Mobile Site'}
E100151,2026-04-18 5:07:05,64000576,"Chaudhuri, Gill and Kata",Churning Seller,IM Leader Pro,Ahmedabad,support_ticket,crm_system,77,"{'ticket_type': 'Lead Quality', 'priority': 'Low'}"
