seller_id,company_name,city,state,business_type,years_active,service_name,weekly_bl_allocation,revenue_band,persona_type,catalog_quality_score,total_products,active_categories,avg_weekly_leads,avg_weekly_lead_consumption,avg_response_rate,avg_response_time_mins,preferred_platform,seller_rating,engagement_score,seller_health_score,churn_risk,upsell_probability,last_active_days_ago,notification_open_rate,support_ticket_count,preferred_market,primary_category,secondary_categories
64000069,Roy PLC,Mumbai,Maharashtra,Proprietorship,13,Mini Dynamic Catalog (Monthly),7,1.5Cr-5Cr,Premium Stable Seller,80,246,55,22,3,86,10,App,3.39,88,93,Low,34,0,44,7,Export,Machinery,Lathe Machine|Juice Machine|Packaging Machine
64000070,"Kaul, Amble and Sagar",Ludhiana,Punjab,Partnership,4,Mini Dynamic Catalog (Monthly),7,10L-40L,Lazy Seller,40,411,34,23,5,33,78,App,4.47,40,21,High,9,8,12,2,National,Furniture,Modular Desk|Wooden Table|Office Chair
64000071,Khosla-Sur,Bengaluru,Karnataka,Proprietorship,9,IM Leader Pro,40,5Cr-20Cr,Premium Stable Seller,80,255,11,45,36,90,14,Mobile Site,4.29,76,91,Low,15,3,19,1,National,Garments,Kids Wear|T-Shirts|Hoodies
64000072,Lad-Ramanathan,Delhi,Delhi,Private Limited,3,Free,0,1.5Cr-5Cr,Premium Stable Seller,89,321,53,21,2,80,9,Mobile Site,3.78,78,85,Low,28,3,22,2,Regional,Machinery,Lathe Machine|Packaging Machine|Juice Machine
64000073,"Krishnan, Bhasin and Bora",Bengaluru,Karnataka,Partnership,9,Maximiser Pro,21,40L-1.5Cr,Premium Stable Seller,89,72,20,37,6,89,14,Mobile Site,3.33,95,82,Low,22,1,41,7,National,Electronics,HDMI Cable|Fiber Optic Cable|Adapters
64000074,Chaudhry-Bhavsar,Chennai,Tamil Nadu,LLP,11,IM Leader Pro,40,1.5Cr-5Cr,Premium Stable Seller,88,343,40,40,37,82,10,Mobile Site,3.33,77,93,Low,29,0,30,7,Regional,Leather,Card Holder|Organizer Bag|Laptop Sleeve
64000075,Mandal-Balasubramanian,Delhi,Delhi,Private Limited,14,Free,0,40L-1.5Cr,Free Active Seller,72,279,51,19,1,85,18,App,4.23,72,87,Medium,94,19,33,2,Regional,Garments,Hoodies|Corporate Wear|Kids Wear
64000076,"Virk, Andra and Mani",Noida,Uttar Pradesh,Partnership,13,Free,0,1.5Cr-5Cr,Free Active Seller,72,382,58,19,5,81,15,App,3.86,75,69,Medium,82,16,22,0,Export,Electronics,HDMI Cable|Fiber Optic Cable|CCTV Camera
64000077,"Chaudhari, Shenoy and Mandal",Surat,Gujarat,Partnership,6,IM IL,70,40L-1.5Cr,Power Seller,91,318,20,49,19,93,12,Mobile Site,4.41,84,92,Low,12,3,6,4,Export,Electronics,Adapters|HDMI Cable|Wireless CCTV
64000078,Samra and Sons,Jaipur,Rajasthan,Private Limited,14,Mini Dynamic Catalog (Annual),10,5Cr-20Cr,Churning Seller,70,178,25,18,5,57,90,Desktop,3.59,43,20,High,16,29,9,2,Regional,Furniture,Wooden Table|Sofa|Modular Desk
64000079,"Deol, Chakrabarti and Sarkar",Ludhiana,Punjab,Partnership,9,Mini Dynamic Catalog (Monthly),7,10L-40L,Premium Stable Seller,88,103,25,49,2,97,5,App,3.82,94,90,Low,19,3,16,7,Export,Machinery,Lathe Machine|Mixer Machine|Juice Machine
64000080,"Kadakia, Srinivasan and Sarraf",Ludhiana,Punjab,LLP,4,Maximiser Pro,21,40L-1.5Cr,Premium Stable Seller,87,256,38,53,16,93,6,Desktop,4.56,86,96,Low,29,3,9,4,Regional,Furniture,Office Chair|Modular Desk|Wooden Table
64000081,Ganguly and Sons,Noida,Uttar Pradesh,Private Limited,9,Mini Dynamic Catalog (Annual),10,1.5Cr-5Cr,Power Seller,91,95,57,10,3,87,4,Desktop,3.91,88,96,Low,26,3,26,8,National,Furniture,Office Chair|Modular Desk|Wooden Table
64000082,Dua-Wali,Ahmedabad,Gujarat,LLP,2,Free,0,5Cr-20Cr,Free Active Seller,77,191,20,9,0,65,10,Mobile Site,4.61,73,90,Medium,95,14,31,7,Export,Leather,Organizer Bag|Wallet|Laptop Sleeve
64000083,Ray LLC,Delhi,Delhi,Partnership,1,Free,0,10L-40L,Free Active Seller,76,236,16,14,3,91,7,Desktop,3.61,87,87,Medium,91,14,41,7,Regional,Agriculture,Drip Irrigation|Pesticides|Seeds
64000084,Vyas-Rao,Gurugram,Haryana,LLP,10,Mini Dynamic Catalog (Monthly),7,40L-1.5Cr,Premium Stable Seller,94,20,80,27,3,96,6,Mobile Site,4.34,79,87,Low,28,3,34,5,Regional,Electronics,CCTV Camera|HDMI Cable|Fiber Optic Cable
64000085,"Bandi, Rattan and Choudhry",Bengaluru,Karnataka,Partnership,7,Mini Dynamic Catalog (Monthly),7,10L-40L,Lazy Seller,64,423,10,27,3,43,72,Mobile Site,4.45,33,15,High,16,28,22,2,Regional,Garments,Corporate Wear|Uniforms|Kids Wear
64000086,Sha Inc,Surat,Gujarat,Private Limited,14,Trustseal Pro,14,1.5Cr-5Cr,New Seller,79,113,19,9,7,66,39,Desktop,3.27,62,60,Medium,55,6,13,0,National,Leather,Passport Holder|Organizer Bag|Wallet
64000087,Mallick-Sanghvi,Ludhiana,Punjab,LLP,14,Free,0,10L-40L,Premium Stable Seller,86,202,8,25,10,79,15,App,3.94,95,84,Low,24,2,26,7,National,Garments,Corporate Wear|Uniforms|Hoodies
64000088,"Badal, Hari and Venkataraman",Surat,Gujarat,Proprietorship,8,Free,0,40L-1.5Cr,New Seller,66,392,56,7,6,74,43,Mobile Site,3.7,48,70,Medium,37,24,7,1,National,Machinery,Packaging Machine|Juice Machine|Lathe Machine
64000089,Varty-Ahuja,Ludhiana,Punjab,Private Limited,8,IM IL,70,10L-40L,Premium Stable Seller,83,465,47,83,55,92,8,Desktop,4.34,89,79,Low,38,2,26,5,Export,Leather,Wallet|Laptop Sleeve|Passport Holder
64000090,Dasgupta PLC,Mumbai,Maharashtra,Partnership,3,Free,0,5Cr-20Cr,Premium Stable Seller,79,216,74,6,4,82,4,App,3.83,82,89,Low,26,1,5,2,Export,Packaging,Corrugated Box|Shipping Box|Labels
64000091,Kala Group,Surat,Gujarat,LLP,6,IM Star Pro,30,10L-40L,New Seller,62,275,68,54,29,75,17,App,4.52,40,68,Medium,40,22,29,3,Export,Packaging,Labels|Shipping Box|Corrugated Box
64000092,Seshadri LLC,Ludhiana,Punjab,LLP,4,Trustseal Pro,14,1.5Cr-5Cr,Power Seller,84,369,42,47,5,99,4,App,4.65,94,84,Low,35,0,45,2,National,Electronics,Wireless CCTV|CCTV Camera|HDMI Cable
64000093,"Vaidya, Jayaraman and Bhargava",Bengaluru,Karnataka,Proprietorship,2,Trustseal Pro,14,10L-40L,Churning Seller,57,208,61,56,8,61,28,Desktop,3.73,43,37,High,23,9,31,8,National,Machinery,Juice Machine|Mixer Machine|Lathe Machine
64000094,Bawa and Sons,Jaipur,Rajasthan,Partnership,3,Free,0,40L-1.5Cr,Free Active Seller,90,196,18,22,5,67,12,App,4.05,84,89,Medium,91,29,4,1,Export,Furniture,Wooden Table|Office Chair|Sofa
64000095,Kothari-Varma,Mumbai,Maharashtra,Private Limited,3,IM Leader Pro,40,1.5Cr-5Cr,Churning Seller,72,453,12,37,12,44,69,Desktop,4.26,53,48,High,14,25,40,8,Regional,Machinery,Mixer Machine|Juice Machine|Lathe Machine
64000096,"Guha, Kaul and Mall",Bengaluru,Karnataka,Proprietorship,10,Trustseal Pro,14,40L-1.5Cr,Premium Stable Seller,83,41,5,10,0,97,14,Mobile Site,3.91,94,88,Low,33,2,41,0,National,Electronics,Fiber Optic Cable|Adapters|Wireless CCTV
64000097,Lala Group,Bengaluru,Karnataka,Private Limited,11,Free,0,5Cr-20Cr,Free Active Seller,85,252,11,6,1,72,17,App,3.99,91,80,Medium,84,19,22,2,National,Packaging,Plastic Pouch|Corrugated Box|Shipping Box
64000098,Bala-Chatterjee,Surat,Gujarat,Private Limited,7,IM Leader Pro,40,10L-40L,Churning Seller,66,82,36,62,15,65,38,Desktop,3.69,40,27,High,19,9,25,6,Regional,Furniture,Wooden Table|Sofa|Modular Desk
64000099,Biswas-Bhalla,Mumbai,Maharashtra,Private Limited,15,IM Leader Pro,40,5Cr-20Cr,Premium Stable Seller,84,470,41,68,1,83,10,Mobile Site,3.98,91,92,Low,30,0,16,3,Export,Garments,T-Shirts|Kids Wear|Uniforms
64000100,"Sibal, Malhotra and Sharma",Surat,Gujarat,Partnership,1,Free,0,40L-1.5Cr,Free Active Seller,85,166,70,5,0,84,18,App,4.44,90,89,Medium,90,18,26,5,Regional,Chemicals,Cleaning Chemical|Industrial Solvents|Paint Chemical
64000101,Jha-Walia,Jaipur,Rajasthan,Partnership,10,Maximiser Pro,21,40L-1.5Cr,Premium Stable Seller,89,250,72,40,19,95,7,Desktop,3.87,77,90,Low,31,0,22,8,National,Machinery,Lathe Machine|Packaging Machine|Juice Machine
64000102,Dasgupta Group,Mumbai,Maharashtra,Proprietorship,10,IM IL,70,40L-1.5Cr,Premium Stable Seller,94,190,62,71,58,79,3,App,4.78,76,82,Low,37,1,21,2,National,Garments,Hoodies|Uniforms|Kids Wear
64000103,"Krishna, Singh and Hayre",Chennai,Tamil Nadu,Private Limited,10,Free,0,1.5Cr-5Cr,Free Active Seller,86,308,40,20,0,91,13,Mobile Site,3.39,87,83,Medium,97,16,27,4,Export,Packaging,Corrugated Box|Plastic Pouch|Labels
